;,Quiche Operators,,,,,,,,,
,,,,,,,,,,
;,For infix operators:,,,,,,,,,
;,1. Allows validation of the operand types,,,,,,,,,
;,2. Allows determination of the result type,,,,,,,,,
;,"3. Where an operator represents multiple operations depending on the operand types, allows determining such operations.",,,,,,,,,
;,,"Ie. '+' can map to addition, concatenation or set union",,,,,,,,
,,,,,,,,,,
;,Provides meta-data for all operations,,,,,,,,,
,,,,,,,,,,
;,Notes:,,,,,,,,,
,low,0,n,,,,,,,
,ord,0,n,,,,,,,
,out,0,n,,,,,,,
,peek,0,n,,,,,,,
,poke,0,n,,,,,,,
,pred,0,n,,,,,,,
,sizeof,0,n,,,,,,,
,succ,0,n,,,,,,,
,swap,0,n,,,,,,,
,,,,,,,,,,
,,,"I/O, Keyboard and Screen",,,,,,,
;,keypressed,0,n,,,,,,,
;,readkey,0,n,,,,,,,
,write,0,n,,,,,,,
,writeln,0,n,,,,,,,
,,,,,,,,,,
,,,Intrinsics - Strings and Chars,,,,,,,
,capacity,0,n,,,,,,,
,chr,0,n,,,,,,,
,downcase,0,n,,,,,,,
,length,0,n,,,,,,,
,setlength,0,n,,,,,,,
,upcase,0,n,,,,,,,
END,,,,,,,,,,
