;,,,,,,,,,,,,,,,,,,
;,address (of),unary,@,at,,4,Any variable,N/A,N/A,N/A,,Pointer,,,,,,
;,,,,,,,,,,,,,,,,,,
;,Typecasts,,,,,,,,,,,,,,,,,
,Integer,typecast,integer,integer,x8 x16 boolean,0,Any,N/A,N/A,N/A,,Integer,,,,,,
;,,typecast,%,integer,,0,Any,N/A,N/A,N/A,,Integer,,,,,,
,Int8,typecast,int8,int8,x8 x16 boolean,0,Any,N/A,N/A,N/A,,int8,,,,,,
;,,typecast,%%,int8,,0,Any,N/A,N/A,N/A,,int8,,,,,,
,Word,typecast,word,word,x8 x16 boolean,0,Any,N/A,N/A,N/A,,word,,,,,,
;,,typecast,#,word,,0,Any,N/A,N/A,N/A,,word,,,,,,
,Byte,typecast,byte,byte,x8 x16 boolean,0,Any,N/A,N/A,N/A,,byte,,,,,,
;,,typecast,##,byte,,0,Any,N/A,N/A,N/A,,byte,,,,,,
,Pointer,typecast,pointer,pointer,x8 x16 boolean,0,Any,N/A,N/A,N/A,,pointer,,,,,,
;,,typecast,^,pointer,,0,Any,N/A,N/A,N/A,,pointer,,,,,,
,Boolean,typecast,boolean,boolean,x8 x16 boolean,0,Any,N/A,N/A,N/A,,boolean,,,,,,
;,,typecast,?,boolean,,0,Any,N/A,N/A,N/A,,boolean,,,,,,
,Char,typecast,char,char,x8 x16 boolean,0,Any,N/A,N/A,N/A,,char,,,,,,
;,,typecast,$$,char,,0,Any,N/A,N/A,N/A,,char,,,,,,
;,,,,,,,,,,,,,,,,,,
;,Intrinsics,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,Maths,,,,,,,,,,,,,,,,,TODO
;,abs,func,abs,abs,s8 s16,0,Numeric,N/A,N/A,N/A,,Same,Absolute value of parameter,,,,,
;,dec,proc,dec,dec,x8 x16,0,Enumerated,Integer,n,n,p1variable;p2optional;p2immediate;nooverflowchecks,Same,Optional second parameter. NO VALIDATION!,,,,,
;,inc,proc,inc,inc,x8 x16,0,Enumerated,Integer,n,n,p1variable;p2optional;p2immediate;nooverflowchecks,Same,Optional second parameter. NO VALIDATION!,,,,,
;,odd,func,odd,odd,x8 x16,0,Numeric,N/A,N/A,N/A,,Boolean,Is parameter odd?,,,,,
;,pi,func,,,,,,,,,,,Pi (constant),,,,,
;,,,,,,,,,,,,,,,,,,
;,System,,,,,,,,,,,,,,,,,
;,addr,func,,addr,,,,,,,,,Address of variable (equivalent to @ operator),,,,,
;,hi,func,hi,hi,x16,0,Word,N/A,N/A,N/A,p1bitsize16only,Byte,High byte of 16-bit parameter,,,,,16 bit types only
;,high,func,high,high,x8 x16 boolean,0,Any,N/A,N/A,N/A,,Same,Highest value of variable or type or array bound,,,,,"Enumerable types, type names"
;,inp,func,,inp,,,,,,,,,Input from I/O port,,,,,
;,lo,func,lo,lo,x16,0,Integer,N/A,N/A,N/A,,Byte,Low byte of 16-bit parameter,,,,,16 bit types
;,low,func,,low,x8 x16 boolean,0,Any,N/A,N/A,N/A,,Same,Lowest value of variable or type or array bound,,,,,"Enumerable types, type names"
;,ord,func,,ord,x8 x16 boolean,0,Enumerated,N/A,N/A,N/A,,Integer,Ordinal value of parameter,,,,,Enumerable types
;,out,proc,,out,,,,,,,,,Output to I/O port,,,,,
;,peek,func,,peek,,,,,,,,,"Peek(addr-expr,type)",,,,,
;,poke,proc,,poke,,,,,,,,,Poke a value into a memory address,,,,,
;,pred,func,,pred,x8 x16 boolean,0,Enumerated,N/A,N/A,N/A,p2optional,Same,Previous value of an ordinal type,,,,,Enumerable types
;,ptr,func,,ptr,,,,,,,,,??,,,,,
,sizeof,func,,sizeof,any,0,Any,N/A,N/A,N/A,,Integer,Size in bytes required to store a variable or type,,,,,Any type or Type name
,succ,func,,succ,x8 x16 boolean,0,Enumerated,N/A,N/A,N/A,p2optional,Same,Next value of an ordinal type,,,,,Enumerable types
,swap,func,,swap,x16,0,Integer,N/A,N/A,N/A,,Same,Swap high and low bytes of a 16 bit variable,,,,,16-bit types
;,read,func,,read,,,,,,,,,Read from input,,,,,
;,readln,func,,readln,,,,,,,,,Read entire line from input,,,,,
